description,language,hotel_name,location,landmark,address
"Welcome to Krasnapolsky Amsterdam, a comfortable stay with canal-view rooms, a winter-garden breakfast, and 24/7 reception. Find us at Damrak 96, 1012 LP Amsterdam, Amsterdam. Just minutes from Dam Square and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Krasnapolsky Hotel Amsterdam,"Amsterdam, Netherlands",Dam Square,"Damrak 96, 1012 LP Amsterdam"
"Welcome to Rembrandt Square Hotel, a comfortable stay with bike rentals, blackout curtains, and a small cocktail bar. Find us at Amstelstraat 20, 1017 DA Amsterdam, Amsterdam. Just minutes from Rembrandtplein and popular local cafés, shops, and evening spots. Enjoy a quiet lobby with tea and coffee available most afternoons. If you’re arriving early, luggage storage is available until your room is ready. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Rembrandt Square Hotel,"Amsterdam, Netherlands",Rembrandtplein,"Amstelstraat 20, 1017 DA Amsterdam"
"Welcome to Grand Plaza, a comfortable stay with soundproofed rooms, a rooftop lounge, and a compact gym. Find us at 350 W 42nd St, New York, NY 10036, New York. Just minutes from Times Square and popular local cafés, shops, and evening spots. Rooms include blackout curtains and a small desk for work or planning day trips. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Grand Plaza Midtown,"New York, USA",Times Square,"350 W 42nd St, New York, NY 10036"
"Welcome to Central, a comfortable stay with luggage storage, early breakfast bags, and self check-in kiosks. Find us at 12 Station Rd, Edinburgh EH1 1BB, Edinburgh. Just minutes from Edinburgh Waverley Station and popular local cafés, shops, and evening spots. Families can request an extra bed and a crib, subject to availability. A small lounge makes a good spot to unwind after sightseeing. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Central Station City Hotel,"Edinburgh, United Kingdom",Edinburgh Waverley Station,"12 Station Rd, Edinburgh EH1 1BB"
"Welcome to Harbour Bridge Plaza Hotel, a comfortable stay with harbour-facing suites, a rooftop pool, and tour bookings. Find us at 98 Cumberland St, The Rocks NSW 2000, Sydney. Just minutes from Sydney Harbour Bridge and popular local cafés, shops, and evening spots. Families can request an extra bed and a crib, subject to availability. Enjoy a quiet lobby with tea and coffee available most afternoons. Transport tips: buses run frequently nearby, and rideshare pickup is easiest at the main entrance.",en,Harbour Bridge Plaza Hotel,"Sydney, Australia",Sydney Harbour Bridge,"98 Cumberland St, The Rocks NSW 2000"
"Welcome to Rivoli Louvre, a comfortable stay with concierge museum reservations, quiet rooms, and café-to-go. Find us at 99 Rue de Rivoli, 75001 Paris, Paris. Just minutes from Louvre Museum and popular local cafés, shops, and evening spots. A small lounge makes a good spot to unwind after sightseeing. Families can request an extra bed and a crib, subject to availability. Transport tips: ask the desk to book an airport shuttle, or use the nearest tram stop around the corner.",en,Rivoli Louvre Hotel,"Paris, France",Louvre Museum,"99 Rue de Rivoli, 75001 Paris"
"Welcome to Plaza, a comfortable stay with park-view rooms, bike storage, and a sauna corner. Find us at Parkring 12, 1010 Vienna, Vienna. Just minutes from Stadtpark and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. A small lounge makes a good spot to unwind after sightseeing. Breakfast is served daily, with lighter options available for early departures. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Park Plaza City,"Vienna, Austria",Stadtpark,"Parkring 12, 1010 Vienna"
"Welcome to Grand Plaza Termini, a comfortable stay with fast check-in, baggage hold, and late breakfast. Find us at Via Marsala 25, 00185 Rome, Rome. Just minutes from Roma Termini and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. A small lounge makes a good spot to unwind after sightseeing. Transport tips: the front desk can arrange a taxi, and the closest train station is walkable.",en,Grand Plaza Termini,"Rome, Italy",Roma Termini,"Via Marsala 25, 00185 Rome"
"Welcome to Ginza Central Hotel, a comfortable stay with fast Wi‑Fi, quiet floors, and complimentary drip coffee. Find us at 4-2-1 Ginza, Chuo City, Tokyo 104-0061, Tokyo. Just minutes from Ginza Station and popular local cafés, shops, and evening spots. If you’re arriving early, luggage storage is available until your room is ready. A small lounge makes a good spot to unwind after sightseeing. Families can request an extra bed and a crib, subject to availability. Transport tips: look for the closest subway entrance nearby, or request a pre-booked transfer.",en,Ginza Central Hotel,"Tokyo, Japan",Ginza Station,"4-2-1 Ginza, Chuo City, Tokyo 104-0061"
"Welcome to Shinjuku City Hotel, a comfortable stay with coin laundry, self check-in, and compact single rooms. Find us at 1-1-1 Nishi-Shinjuku, Tokyo 160-0023, Tokyo. Just minutes from Shinjuku Station and popular local cafés, shops, and evening spots. Breakfast is served daily, with lighter options available for early departures. A small lounge makes a good spot to unwind after sightseeing. Transport tips: the nearest metro is a short walk away, and taxis can be requested at reception.",en,Shinjuku City Hotel,"Tokyo, Japan",Shinjuku Station,"1-1-1 Nishi-Shinjuku, Tokyo 160-0023"
